騎手名,調教師名,出走回数,1着,2着,3着,勝率,複勝率
矢野貴之,酒井忍,16,7,3,1,43.80%,68.8%
藤田凌,橋本和馬,54,7,2,8,13.00%,31.5%
本田正重,的場直之,28,7,2,3,25.00%,42.9%
御神本訓史,山田信大,12,7,2,0,58.30%,75.0%
岡村健司,山本学,35,7,1,6,20.00%,40.0%
西啓太,佐宗応和,15,7,1,2,46.70%,66.7%
張田昂,山田信大,15,7,1,1,46.70%,60.0%
笹川翼,佐藤裕太,31,6,8,4,19.40%,58.1%
矢野貴之,森下淳平,23,6,8,3,26.10%,73.9%
矢野貴之,澤佳宏,39,6,7,3,15.40%,41.0%
山中悠希,小久保智,75,6,7,2,8.00%,20.0%
矢野貴之,小久保智,29,6,6,9,20.70%,72.4%
笹川翼,福田真広,31,6,5,4,19.40%,48.4%
町田直希,鈴木義久,44,6,5,4,13.60%,34.1%
室陽一朗,宇野木博徳,107,6,4,12,5.60%,20.6%
仲野光馬,渡邊貴光,35,6,4,6,17.10%,45.7%
西啓太,小久保智,63,6,4,6,9.50%,25.4%
町田直希,高月賢一,33,6,4,5,18.20%,45.5%
吉井章,鈴木啓之,43,6,4,5,14.00%,34.9%
篠谷葵,山本学,24,6,4,4,25.00%,58.3%
矢野貴之,佐々木仁,33,6,4,3,18.20%,39.4%
笹川翼,田中正人,19,6,3,5,31.60%,73.7%
和田譲治,福永敏,37,6,3,5,16.20%,37.8%
七夕裕次郎,横山保,29,6,3,3,20.70%,41.4%
本田正重,荒山勝徳,13,6,3,2,46.20%,84.6%
山中悠希,繁田健一,10,6,3,0,60.00%,90.0%
野畑凌,小澤宏次,29,6,2,3,20.70%,37.9%
御神本訓史,上杉昌宏,13,6,2,0,46.20%,61.5%
藤本現暉,佐々木功,51,6,1,8,11.80%,29.4%
岡村健司,林隆之,19,6,1,6,31.60%,68.4%
和田譲治,蛯名雄太,23,6,1,4,26.10%,47.8%
野畑凌,松浦裕之,32,6,1,2,18.80%,28.1%
矢野貴之,高野毅,33,6,1,2,18.20%,27.3%
千田洋,的場直之,13,6,1,1,46.20%,61.5%
御神本訓史,河津裕昭,7,6,1,0,85.70%,100.0%
小野俊斗,宗形竹見,40,6,0,4,15.00%,25.0%
和田譲治,中道啓二,21,6,0,4,28.60%,47.6%
山本聡哉,山下貴之,16,6,0,2,37.50%,50.0%
本田正重,福田真広,44,5,11,8,11.40%,54.5%
見越彬央,鹿沼良和,59,5,9,5,8.50%,32.2%
西啓太,田中正人,48,5,9,3,10.40%,35.4%
川島正太郎,岩崎真樹,46,5,8,7,10.90%,43.5%
矢野貴之,月岡健二,33,5,8,6,15.20%,57.6%
笹川翼,水野貴史,28,5,8,2,17.90%,53.6%
福原杏,小澤宏次,51,5,7,7,9.80%,37.3%
川島正太郎,稲益貴弘,35,5,7,4,14.30%,45.7%
笹川翼,川島正一,33,5,7,2,15.20%,42.4%
笹川翼,山崎裕也,31,5,7,2,16.10%,45.2%
達城龍次,鷹見浩,60,5,6,11,8.30%,36.7%
安藤洋一,月岡健二,61,5,6,6,8.20%,27.9%
矢野貴之,上杉昌宏,38,5,6,5,13.20%,42.1%
御神本訓史,福永敏,26,5,6,3,19.20%,53.8%
矢野貴之,齊藤敏,27,5,6,3,18.50%,51.9%
笹川翼,山田信大,21,5,6,0,23.80%,52.4%
西啓太,藤原智行,39,5,5,5,12.80%,38.5%
町田直希,宇野木博徳,31,5,5,5,16.10%,48.4%
本田正重,佐藤裕太,25,5,5,4,20.00%,56.0%
張田昂,平山真希,37,5,5,3,13.50%,35.1%
本田正重,佐藤博紀,22,5,5,1,22.70%,50.0%
和田譲治,赤嶺亮,33,5,5,0,15.20%,30.3%
中村尚平,渡邉和雄,67,5,4,4,7.50%,19.4%
秋元耕成,鹿沼良和,18,5,4,3,27.80%,66.7%
七夕裕次郎,小林真治,24,5,4,1,20.80%,41.7%
笹川翼,藤田輝信,22,5,3,5,22.70%,59.1%
吉井章,立花伸,31,5,3,4,16.10%,38.7%
吉原寛人,荒山勝徳,16,5,3,3,31.30%,68.8%
矢野貴之,高橋清顕,26,5,2,8,19.20%,57.7%
岡村健司,酒井一則,35,5,2,3,14.30%,28.6%
山中悠希,中道啓二,32,5,2,3,15.60%,31.3%
藤田凌,蛯名雄太,32,5,2,2,15.60%,28.1%
笹川翼,林隆之,23,5,2,1,21.70%,34.8%
野畑凌,荒山勝徳,15,5,2,1,33.30%,53.3%
保園翔也,川村守男,81,5,1,11,6.20%,21.0%
福原杏,繁田健一,22,5,1,4,22.70%,45.5%
藤本現暉,真島大輔,21,5,1,3,23.80%,42.9%
岡村裕基,武井和実,18,5,1,0,27.80%,33.3%
篠谷葵,稲益貴弘,16,5,1,0,31.30%,37.5%
野畑凌,繁田健一,18,5,0,3,27.80%,44.4%
御神本訓史,内田勝義,16,5,0,3,31.30%,50.0%
藤本現暉,鷹見浩,41,5,0,2,12.20%,17.1%
吉井章,森下淳平,13,5,0,1,38.50%,46.2%
吉原寛人,福永敏,40,4,7,7,10.00%,45.0%
笹川翼,米谷康秀,28,4,7,3,14.30%,50.0%
篠谷葵,林正人,49,4,7,3,8.20%,28.6%
千田洋,松浦裕之,50,4,7,3,8.00%,28.0%
神尾香澄,山田質,78,4,6,5,5.10%,19.2%
矢野貴之,鈴木義久,27,4,6,4,14.80%,51.9%
見越彬央,川島豊,44,4,6,3,9.10%,29.5%
吉井章,吉井竜一,42,4,6,2,9.50%,28.6%
藤江渉,山田質,73,4,5,10,5.50%,26.0%
新原周馬,田邊陽一,49,4,5,7,8.20%,32.7%
室陽一朗,横山保,27,4,5,5,14.80%,51.9%
和田譲治,渡邉和雄,44,4,5,5,9.10%,31.8%
今野忠成,内田勝義,38,4,5,4,10.50%,34.2%
西啓太,真島大輔,33,4,5,3,12.10%,36.4%
今野忠成,荒山勝徳,24,4,5,2,16.70%,45.8%
高橋哲也,水野貴史,59,4,4,8,6.80%,27.1%
岡村健司,河津裕昭,22,4,4,4,18.20%,54.5%
和田譲治,久保杉隆,39,4,4,2,10.30%,25.6%
矢野貴之,朝倉実,12,4,4,1,33.30%,75.0%
中山遥人,酒井一則,37,4,3,6,10.80%,35.1%
川島正太郎,山下貴之,24,4,3,5,16.70%,50.0%
鷹見陸,澤佳宏,57,4,3,5,7.00%,21.1%
矢野貴之,伊藤滋規,22,4,3,5,18.20%,54.5%
吉原寛人,矢野義幸,30,4,3,5,13.30%,40.0%
菅原涼太,藤原智行,56,4,3,4,7.10%,19.6%
町田直希,久保秀男,20,4,3,2,20.00%,45.0%
笹川翼,秋山直之,16,4,3,1,25.00%,50.0%
西啓太,堀江仁,28,4,3,1,14.30%,28.6%
本橋孝太,川島正一,24,4,3,1,16.70%,33.3%
Ｒ．クアトロ,藤田輝信,19,4,3,0,21.10%,36.8%
小杉亮,林幻,25,4,2,4,16.00%,40.0%
藤田凌,藤田輝信,23,4,2,4,17.40%,43.5%
矢野貴之,水野貴史,16,4,2,4,25.00%,62.5%
笹川翼,内田勝義,17,4,2,3,23.50%,52.9%
藤田凌,中道啓二,34,4,2,3,11.80%,26.5%
山崎誠士,藤原智行,27,4,2,3,14.80%,33.3%
笹川翼,林正人,15,4,2,2,26.70%,53.3%
中越琉世,佐藤博紀,49,4,2,2,8.20%,16.3%
御神本訓史,田中正人,22,4,2,2,18.20%,36.4%
矢野貴之,玉井昇,21,4,2,2,19.00%,38.1%
野畑凌,山崎裕也,19,4,2,1,21.10%,36.8%
松崎正泰,高野毅,18,4,2,1,22.20%,38.9%
菅原涼太,坂井英光,11,4,2,0,36.40%,54.5%
藤本現暉,高橋清顕,24,4,2,0,16.70%,25.0%
本田正重,林幻,9,4,2,0,44.40%,66.7%
町田直希,甲田悟史,28,4,1,5,14.30%,35.7%
保園翔也,水上直人,11,4,1,3,36.40%,72.7%
矢野貴之,佐藤裕太,17,4,1,3,23.50%,47.1%
半澤慶実,平山真希,31,4,1,2,12.90%,22.6%
矢野貴之,福永敏,14,4,1,2,28.60%,50.0%
秋元耕成,繁田健一,12,4,1,1,33.30%,50.0%
岡村健司,茂木浩幸,10,4,1,1,40.00%,60.0%
庄司大輔,川島正一,9,4,1,1,44.40%,66.7%
矢野貴之,村上頼章,10,4,1,1,40.00%,60.0%
笹川翼,茂木浩幸,5,4,1,0,80.00%,100.0%
野畑凌,大宮和也,15,4,1,0,26.70%,33.3%
福原杏,野口寛仁,12,4,1,0,33.30%,41.7%
御神本訓史,村上頼章,6,4,1,0,66.70%,83.3%
横山武史,伊藤圭三,6,4,1,0,66.70%,83.3%
瀬川将輝,栗田裕光,44,4,0,5,9.10%,20.5%
野畑凌,山田質,17,4,0,4,23.50%,47.1%
佐野遥久,田邊陽一,30,4,0,3,13.30%,23.3%
千田洋,大宮和也,41,4,0,3,9.80%,17.1%
町田直希,茂木浩幸,10,4,0,2,40.00%,60.0%
